# HJD				Phase	RV
17710.75			446.366	-0.1
17716.68			452.296	2.9
17795.58			37.023	9.0
17968.84			210.283	-3.8
17970.88			212.323	-3.5
17989.94			231.383	-5.2
17996.80			238.243	-6.8
18031.91			273.353	-7.2
18066.78			308.223	-6.7
18085.67			327.113	-7.7
18087.67			329.113	-7.1
18115.59			357.033	-6.0
18129.61			371.053	-7.5
18138.61			380.053	-5.5
18192.54			433.983	-0.3
18314.97			62.240	8.6
18337.78			85.050	5.2
18355.85			103.120	6.0
18386.71			133.980	2.8
18529.56			276.830	-6.5
18549.56			296.830	-7.2
18713.78			461.050	5.3
18727.70			474.970	6.7
18742.82			490.090	8.0
14035.794		230.621	-2.9
14036.827		231.654	-5.1
14057.744		252.571	-6.4
14693.020		393.674	-2.5
15524.755		237.063	-5.2
16259.792		477.927	6.8
16571.961		295.923	-2.4
16646.711		370.673	-5.3
18051.927		293.370	-5.3
18136.707		378.150	-4.6
23175.708		475.421	7.4
27928.875		286.858	-4.5
27936.853		284.836	-4.7
27958.823		316.806	-6.5
27972.782		330.765	-6.1
27975.804		333.787	-6.6
28989.942		359.579	-4.7
29011.840		381.477	-4.5
29037.780		407.417	-1.5
29277.003		152.467	1.1
29278.019		153.483	0.7
29278.991		154.455	1.5
29317.042		192.506	-0.8
29339.009		214.473	-1.8
29359.009		234.473	-3.3
29383.941		259.405	-2.7
29455.688		331.152	-4.7
29695.005		76.296	7.7
29709.010		90.301	7.2
29758.835		140.126	2.4
29767.831		149.122	1.9
29776.852		158.143	0.6
29793.740		175.031	-1.3
29800.732		182.023	-1.6
30097.930		479.221	8.7
30098.883		480.174	8.0
30104.922		486.213	8.9
30112.906		0.024	8.6
30121.858		8.976	10.7
30154.753		41.871	11.2
30158.696		45.814	11.1
30402.023		289.141	-4.9
30404.000		291.118	-5.2
30418.049		305.167	-5.8
30422.000		309.118	-5.1
30427.015		314.133	-5.4
30435.954		323.072	-5.2
30444.985		332.103	-4.2
30456.895		344.013	-4.7
30468.892		356.101	-5.1
30474.893		362.011	-4.2
30481.840		368.958	-5.3
30511.762		398.880	-3.4
30514.769		401.887	-2.9
30530.704		417.882	-0.5
30541.698		428.816	-0.4
30557.679		444.797	3.4
30595.659		482.777	8.3
30767.004		159.949	0.9
30783.998		176.943	-0.9
30802.992		195.937	-2.0
30808.889		201.834	-3.1
30824.932		217.877	-3.0
30862.768		255.713	-4.8
31159.000		57.772	9.5
31170.963		69.735	8.6
31216.899		115.671	4.3
31249.798		148.570	1.2
31299.680		198.452	-2.9
31484.071		382.843	-5.1
31511.032		409.804	-2.5
31546.983		445.755	2.3
31567.859		466.631	6.1
31599.757		4.356	10.1
31615.708		20.307	12.0
31633.713		38.312	10.0
31659.683		64.282	9.1
31677.681		82.280	7.2
31699.655		104.254	5.4
31834.992		239.591	-3.9
31853.038		257.637	-4.2
31881.016		285.615	-4.6
31924.876		329.475	-6.1
31946.808		351.407	-5.5
31977.728		382.327	-4.1
31999.697		404.296	-2.3
32032.681		437.280	1.7
32050.672		455.271	3.0
32072.651		477.250	8.6
32365.710		276.136	-4.5
